,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,homer,us,59.6441,-151.5402,51.3,90.0,100.0,23.44
1,cap-aux-meules,ca,47.3821,-61.8597,59.0,73.0,100.0,54.13
2,khatanga,ru,71.9801,102.4743,47.05,90.0,82.0,16.2
3,cayenne,gf,4.9371,-52.3259,82.15,75.0,100.0,5.14
4,vaini,to,-21.2001,-175.2,69.26,71.0,0.0,17.0
7,sann,pk,26.0418,68.1378,88.52,51.0,62.0,9.22
8,busselton,au,-33.6445,115.3489,45.14,84.0,0.0,11.99
9,esperance,au,-33.8583,121.8932,52.77,79.0,100.0,11.48
10,byron bay,au,-28.65,153.6167,52.52,47.0,0.0,4.99
11,port alfred,za,-33.5906,26.891,65.25,40.0,0.0,8.72
13,yellowknife,ca,62.4541,-114.3774,56.7,54.0,16.0,4.12
14,grimshaw,ca,56.1879,-117.6083,53.53,96.0,100.0,7.58
15,punta arenas,cl,-53.1627,-70.9081,42.04,69.0,68.0,6.98
16,upernavik,gl,72.7868,-56.1549,41.58,78.0,99.0,14.09
18,hilo,us,19.7072,-155.0817,82.13,48.0,86.0,18.25
19,kapaa,us,22.0752,-159.319,87.49,65.0,76.0,12.21
20,atuona,pf,-9.8,-139.0334,78.51,75.0,0.0,15.37
21,karratha,au,-20.7371,116.8479,58.42,84.0,0.0,5.7
22,tasiilaq,gl,65.6145,-37.6368,39.6,98.0,100.0,2.19
24,powell river,ca,49.8371,-124.5246,67.15,72.0,100.0,2.21
26,yerbogachen,ru,61.2767,108.0108,38.7,94.0,0.0,4.63
27,rikitea,pf,-23.1203,-134.9692,66.74,66.0,24.0,23.24
28,husavik,is,66.0449,-17.3389,57.02,84.0,100.0,5.39
29,westport,nz,-41.7542,171.6036,51.04,70.0,67.0,4.27
30,blagoyevo,ru,63.3667,47.9167,45.54,96.0,0.0,4.0
31,ushuaia,ar,-54.807,-68.3074,36.9,85.0,99.0,3.83
32,waingapu,id,-9.6522,120.2637,66.67,91.0,33.0,4.54
33,kavieng,pg,-2.5745,150.7967,81.03,74.0,100.0,7.96
34,williamsport,us,41.2493,-77.0028,70.36,72.0,59.0,8.61
35,qaanaaq,gl,77.484,-69.3633,27.36,44.0,0.0,9.78
36,sitka,us,37.175,-99.6516,97.05,19.0,59.0,16.91
39,klaksvik,fo,62.2266,-6.5891,50.4,87.0,72.0,14.65
42,talnakh,ru,69.494,88.3908,50.25,91.0,73.0,14.94
43,pizhma,ru,57.8642,47.1171,55.87,96.0,100.0,1.34
44,eyl,so,7.9808,49.8184,77.29,61.0,100.0,27.4
47,virginia beach,us,36.853,-75.9775,81.79,72.0,56.0,10.29
